config_key,preprocess,model,pca_dim,mean_test_accuracy,std_test_accuracy,mean_cv_accuracy,feature_dim_after_transform
pca|knn|32,pca,knn,32.0,0.9325,0.005656854249492385,0.932,32
pca|knn|64,pca,knn,64.0,0.9297500000000001,0.003181980515339545,0.92875,64
pca|knn|128,pca,knn,128.0,0.9237500000000001,0.006010407640085738,0.92225,128
pca|knn|256,pca,knn,256.0,0.9235,0.004949747468305798,0.919,256
pca|knn|16,pca,knn,16.0,0.92325,0.0031819805153394274,0.91825,16
pca|knn|512,pca,knn,512.0,0.9219999999999999,0.004949747468305798,0.9185,512
raw|knn|none,raw,knn,,0.9219999999999999,0.004949747468305798,0.9185,784
minmax|knn|none,minmax,knn,,0.9215,0.005656854249492385,0.9185,784
standard_pca|knn|32,standard_pca,knn,32.0,0.8947499999999999,0.011667261889578045,0.8955,32
standard_pca|knn|64,standard_pca,knn,64.0,0.8939999999999999,0.007778174593051991,0.8972499999999999,64
minmax|logistic|none,minmax,logistic,,0.88975,0.006717514421272207,0.8907499999999999,784
pca|logistic|64,pca,logistic,64.0,0.8895,0.006363961030678894,0.8904999999999998,64
raw|logistic|none,raw,logistic,,0.8895,0.007071067811865481,0.8905000000000001,784
pca|logistic|128,pca,logistic,128.0,0.88725,0.00530330085889915,0.8907499999999999,128
minmax|linear_svm|none,minmax,linear_svm,,0.8867499999999999,0.0045961940777125634,0.8867499999999999,784
pca|logistic|512,pca,logistic,512.0,0.8865000000000001,0.0021213203435596836,0.8879999999999999,512
raw|linear_svm|none,raw,linear_svm,,0.8865,0.004242640687119289,0.8865000000000001,784
standard_pca|knn|128,standard_pca,knn,128.0,0.88625,0.007424621202458717,0.8915,128
pca|logistic|256,pca,logistic,256.0,0.8859999999999999,0.0035355339059327017,0.88925,256
standard|logistic|none,standard,logistic,,0.8815,0.006363961030678894,0.89125,784
pca|linear_svm|64,pca,linear_svm,64.0,0.881,0.007071067811865481,0.88225,64
standard_pca|logistic|256,standard_pca,logistic,256.0,0.8805000000000001,0.009192388155425165,0.88775,256
standard_pca|logistic|512,standard_pca,logistic,512.0,0.879,0.009899494936611674,0.8885,512
standard_pca|knn|16,standard_pca,knn,16.0,0.87775,0.015202795795510786,0.887,16
pca|logistic|32,pca,logistic,32.0,0.877,0.005656854249492385,0.881,32
pca|linear_svm|512,pca,linear_svm,512.0,0.87575,0.0031819805153394274,0.8792500000000001,512
pca|linear_svm|256,pca,linear_svm,256.0,0.87575,0.0031819805153394274,0.87975,256
standard_pca|logistic|128,standard_pca,logistic,128.0,0.87525,0.00601040764008562,0.88525,128
pca|linear_svm|128,pca,linear_svm,128.0,0.8745,0.005656854249492346,0.879,128
standard_pca|linear_svm|64,standard_pca,linear_svm,64.0,0.87425,0.008838834764831813,0.8747499999999999,64
standard_pca|knn|256,standard_pca,knn,256.0,0.87225,0.0017677669529664489,0.87425,256
standard_pca|logistic|64,standard_pca,logistic,64.0,0.871,0.007071067811865481,0.882,64
standard_pca|knn|512,standard_pca,knn,512.0,0.8700000000000001,0.002121320343559605,0.86775,512
pca|linear_svm|32,pca,linear_svm,32.0,0.86875,0.001767766952966331,0.8725,32
standard|knn|none,standard,knn,,0.8665,0.002121320343559605,0.8674999999999999,784
standard_pca|linear_svm|128,standard_pca,linear_svm,128.0,0.86575,0.011667261889578005,0.8719999999999999,128
standard_pca|linear_svm|256,standard_pca,linear_svm,256.0,0.8605,0.004949747468305877,0.86225,256
standard_pca|linear_svm|32,standard_pca,linear_svm,32.0,0.857,0.018384776310850254,0.861,32
standard_pca|logistic|32,standard_pca,logistic,32.0,0.85625,0.020152543263816623,0.8665,32
standard_pca|linear_svm|512,standard_pca,linear_svm,512.0,0.8525,0.008485281374238578,0.8470000000000001,512
standard|linear_svm|none,standard,linear_svm,,0.85025,0.0060104076400856596,0.84425,784
pca|logistic|16,pca,logistic,16.0,0.84125,0.012374368670764592,0.84825,16
standard_pca|logistic|16,standard_pca,logistic,16.0,0.83775,0.018031222920257016,0.8364999999999999,16
pca|linear_svm|16,pca,linear_svm,16.0,0.8274999999999999,0.010606601717798184,0.8279999999999998,16
standard_pca|linear_svm|16,standard_pca,linear_svm,16.0,0.8200000000000001,0.013435028842544454,0.8260000000000001,16
