config_key,preprocess,model,pca_dim,mean_test_accuracy,std_test_accuracy,mean_cv_accuracy,feature_dim_after_transform,score
pca|knn|32,pca,knn,32.0,0.9325,0.005656854249492385,0.932,32,0.9325 ± 0.0057
raw|knn|none,raw,knn,,0.9219999999999999,0.004949747468305798,0.9185,784,0.9220 ± 0.0049
minmax|knn|none,minmax,knn,,0.9215,0.005656854249492385,0.9185,784,0.9215 ± 0.0057
standard_pca|knn|32,standard_pca,knn,32.0,0.8947499999999999,0.011667261889578045,0.8955,32,0.8947 ± 0.0117
minmax|logistic|none,minmax,logistic,,0.88975,0.006717514421272207,0.8907499999999999,784,0.8898 ± 0.0067
pca|logistic|64,pca,logistic,64.0,0.8895,0.006363961030678894,0.8904999999999998,64,0.8895 ± 0.0064
raw|logistic|none,raw,logistic,,0.8895,0.007071067811865481,0.8905000000000001,784,0.8895 ± 0.0071
minmax|linear_svm|none,minmax,linear_svm,,0.8867499999999999,0.0045961940777125634,0.8867499999999999,784,0.8867 ± 0.0046
raw|linear_svm|none,raw,linear_svm,,0.8865,0.004242640687119289,0.8865000000000001,784,0.8865 ± 0.0042
standard|logistic|none,standard,logistic,,0.8815,0.006363961030678894,0.89125,784,0.8815 ± 0.0064
pca|linear_svm|64,pca,linear_svm,64.0,0.881,0.007071067811865481,0.88225,64,0.8810 ± 0.0071
standard_pca|logistic|256,standard_pca,logistic,256.0,0.8805000000000001,0.009192388155425165,0.88775,256,0.8805 ± 0.0092
standard_pca|linear_svm|64,standard_pca,linear_svm,64.0,0.87425,0.008838834764831813,0.8747499999999999,64,0.8742 ± 0.0088
standard|knn|none,standard,knn,,0.8665,0.002121320343559605,0.8674999999999999,784,0.8665 ± 0.0021
standard|linear_svm|none,standard,linear_svm,,0.85025,0.0060104076400856596,0.84425,784,0.8502 ± 0.0060
