config_key,preprocess,model,pca_dim,noise_sigma,mean_test_accuracy,std_test_accuracy,clean_mean_accuracy,robustness_drop
minmax|knn|none,minmax,knn,,0.0,0.9215,0.005656854249492385,0.9215,0.0
minmax|knn|none,minmax,knn,,0.1,0.8965000000000001,0.032526911934581175,0.9215,0.02499999999999991
minmax|knn|none,minmax,knn,,0.2,0.82225,0.13965358928434315,0.9215,0.09924999999999995
minmax|knn|none,minmax,knn,,0.3,0.7305,0.24536605307173198,0.9215,0.19099999999999995
minmax|knn|none,minmax,knn,,0.4,0.67675,0.3178444981433531,0.9215,0.24475000000000002
minmax|linear_svm|none,minmax,linear_svm,,0.0,0.8867499999999999,0.0045961940777125634,0.8867499999999999,0.0
minmax|linear_svm|none,minmax,linear_svm,,0.1,0.88425,0.006717514421272247,0.8867499999999999,0.0024999999999999467
minmax|linear_svm|none,minmax,linear_svm,,0.2,0.867,0.017677669529663625,0.8867499999999999,0.019749999999999934
minmax|linear_svm|none,minmax,linear_svm,,0.3,0.8285,0.02192031021678303,0.8867499999999999,0.05824999999999991
minmax|linear_svm|none,minmax,linear_svm,,0.4,0.743,0.02050609665440982,0.8867499999999999,0.14374999999999993
minmax|logistic|none,minmax,logistic,,0.0,0.88975,0.006717514421272207,0.88975,0.0
minmax|logistic|none,minmax,logistic,,0.1,0.8867499999999999,0.010253048327204948,0.88975,0.0030000000000001137
minmax|logistic|none,minmax,logistic,,0.2,0.87575,0.008838834764831813,0.88975,0.014000000000000012
minmax|logistic|none,minmax,logistic,,0.3,0.81575,0.03288046532517445,0.88975,0.07400000000000007
minmax|logistic|none,minmax,logistic,,0.4,0.71675,0.04914392129246498,0.88975,0.17300000000000004
pca|knn|128,pca,knn,128.0,0.0,0.9237500000000001,0.006010407640085738,0.9237500000000001,0.0
pca|knn|128,pca,knn,128.0,0.1,0.92425,0.00954594154601844,0.9237500000000001,-0.0004999999999999449
pca|knn|128,pca,knn,128.0,0.2,0.923,0.008485281374238578,0.9237500000000001,0.0007500000000000284
pca|knn|128,pca,knn,128.0,0.3,0.9175,0.005656854249492385,0.9237500000000001,0.006250000000000089
pca|knn|128,pca,knn,128.0,0.4,0.91475,0.014495689014324237,0.9237500000000001,0.009000000000000119
pca|knn|16,pca,knn,16.0,0.0,0.92325,0.0031819805153394274,0.92325,0.0
pca|knn|16,pca,knn,16.0,0.1,0.9215,0.004949747468305798,0.92325,0.0017500000000000293
pca|knn|16,pca,knn,16.0,0.2,0.9177500000000001,0.006010407640085738,0.92325,0.005499999999999949
pca|knn|16,pca,knn,16.0,0.3,0.89575,0.006717514421272207,0.92325,0.02749999999999997
pca|knn|16,pca,knn,16.0,0.4,0.86775,0.0045961940777125235,0.92325,0.055499999999999994
pca|knn|256,pca,knn,256.0,0.0,0.9235,0.004949747468305798,0.9235,0.0
pca|knn|256,pca,knn,256.0,0.1,0.921,0.006363961030678973,0.9235,0.0024999999999999467
pca|knn|256,pca,knn,256.0,0.2,0.9245000000000001,0.009192388155425165,0.9235,-0.001000000000000112
pca|knn|256,pca,knn,256.0,0.3,0.913,0.00353553390593278,0.9235,0.010499999999999954
pca|knn|256,pca,knn,256.0,0.4,0.9115,0.007778174593051991,0.9235,0.01200000000000001
pca|knn|32,pca,knn,32.0,0.0,0.9325,0.005656854249492385,0.9325,0.0
pca|knn|32,pca,knn,32.0,0.1,0.93325,0.00601040764008562,0.9325,-0.0007500000000000284
pca|knn|32,pca,knn,32.0,0.2,0.9357500000000001,0.0010606601717798223,0.9325,-0.003250000000000086
pca|knn|32,pca,knn,32.0,0.3,0.9315,0.0014142135623730963,0.9325,0.0010000000000000009
pca|knn|32,pca,knn,32.0,0.4,0.9259999999999999,0.002121320343559605,0.9325,0.006500000000000061
pca|knn|512,pca,knn,512.0,0.0,0.9219999999999999,0.004949747468305798,0.9219999999999999,0.0
pca|knn|512,pca,knn,512.0,0.1,0.9197500000000001,0.006010407640085738,0.9219999999999999,0.0022499999999998632
pca|knn|512,pca,knn,512.0,0.2,0.92275,0.008838834764831853,0.9219999999999999,-0.0007500000000000284
pca|knn|512,pca,knn,512.0,0.3,0.9105000000000001,0.0021213203435596836,0.9219999999999999,0.011499999999999844
pca|knn|512,pca,knn,512.0,0.4,0.9119999999999999,0.007778174593051991,0.9219999999999999,0.010000000000000009
pca|knn|64,pca,knn,64.0,0.0,0.9297500000000001,0.003181980515339545,0.9297500000000001,0.0
pca|knn|64,pca,knn,64.0,0.1,0.93025,0.00601040764008562,0.9297500000000001,-0.0004999999999999449
